cluster,cluster_size,uncertainty,centroid_uncertainty,host_entropy,short_entropy,time_span,true_attack_alerts,true_attack_ratio
2377,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3210,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3191,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3219,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3296,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3341,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2431,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9189,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2958,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2924,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3014,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2990,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2526,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3124,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2857,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2858,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2859,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2861,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2872,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2867,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2868,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9129,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3742,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3810,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3800,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3792,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3831,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9004,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
9005,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3733,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3714,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3707,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3678,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3671,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3654,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3762,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3754,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3525,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3646,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3635,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3628,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3609,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3595,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3587,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3573,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3514,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3507,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3500,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3493,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3482,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3561,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3552,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
3532,1,0.65,1.0,-0.0,-0.0,0.0,1,1.0
4430,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4462,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4455,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4440,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4441,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4435,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4436,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4509,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4314,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2193,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4410,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4381,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2163,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4437,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4438,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4060,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4117,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4088,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4209,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4181,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4174,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4255,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4313,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3859,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3862,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3863,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3866,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2293,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3949,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3988,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
3973,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4561,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4568,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4591,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4579,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4580,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4581,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4551,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4567,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4552,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4557,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4558,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4559,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4569,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4571,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
234,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2126,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2127,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4521,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4523,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4547,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4548,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4549,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4497,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4489,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4479,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4465,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
273,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
264,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
267,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8908,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4754,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4755,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4745,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8820,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8821,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4778,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4783,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4608,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4610,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4611,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4671,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4711,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4739,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4721,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4764,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4605,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4606,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4607,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8843,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
318,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
2050,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4630,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4594,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4595,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4584,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4603,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4604,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5761,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5746,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5846,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5847,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5807,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5844,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5919,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5866,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5472,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5539,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5533,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1683,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5592,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5622,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5704,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1846,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5167,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5265,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5282,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1774,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1775,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5350,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1696,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4826,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4901,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
4895,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1933,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1895,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1890,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5051,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1843,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6028,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6029,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6016,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6042,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6043,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6047,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6004,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6005,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6019,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6020,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6022,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6023,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6038,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6024,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5994,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5996,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5998,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6009,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6010,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6011,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6015,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6003,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
370,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8748,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5986,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5965,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6006,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6007,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
5993,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1446,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1457,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1452,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1464,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1470,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6285,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
8622,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1422,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6097,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6100,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6101,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6161,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6144,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1475,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6171,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
1440,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6048,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6052,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6053,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6064,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6068,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6057,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6058,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6074,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6032,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6033,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
6034,1,0.65,1.0,-0.0,-0.0,0.0,0,0.0
